starId	movieId
nm9427760	ArH218
nm9427405	ArH220
nm9428973	ArH220
nm9429002	ArH220
nm9427039	ArH225
nm9425542	ArH225
nm9426092	ArH225
nm9426617	ArH225
nm9424760	ArH225
nm9427666	ArH227
nm9429739	ArH227
nm9425884	ArH227
nm9426883	ArH227
nm9427511	ArH227
nm9425268	ArH227
nm9424513	ArH227
nm9429713	ArH230
nm9428125	ArH230
nm9429906	ArH230
nm9426072	ArH240
nm9428943	ArH240
nm9424112	ArH240
nm9428753	ARk10
nm9423944	ARk12
nm9426830	ARk12
nm9426356	ArL17
nm9424180	ArL17
